Hours since 00:00 Jan 1,Hourly Data: AC inverter power (W)
0.5,0.0
1.5,0.0
2.5,0.0
3.5,0.0
4.5,0.0
5.5,0.0
6.5,0.0
7.5,0.0
8.5,63.513
9.5,125.992
10.5,164.418
11.5,171.869
12.5,164.556
13.5,138.788
14.5,91.1782
15.5,36.282
16.5,0.0
17.5,0.0
18.5,0.0
19.5,0.0
20.5,0.0
21.5,0.0
22.5,0.0
23.5,0.0
24.5,0.0
25.5,0.0
26.5,0.0
27.5,0.0
28.5,0.0
29.5,0.0
30.5,0.0
31.5,0.0
32.5,5.83991
33.5,264.002
34.5,348.772
35.5,379.48
36.5,224.0
37.5,244.785
38.5,138.12
39.5,66.5576
40.5,0.0
41.5,0.0
42.5,0.0
43.5,0.0
44.5,0.0
45.5,0.0
46.5,0.0
47.5,0.0
48.5,0.0
49.5,0.0
50.5,0.0
51.5,0.0
52.5,0.0
53.5,0.0
54.5,0.0
55.5,0.0
56.5,64.5374
57.5,119.602
58.5,166.538
59.5,218.636
60.5,237.616
61.5,208.336
62.5,129.731
63.5,53.7221
64.5,0.0
65.5,0.0
66.5,0.0
67.5,0.0
68.5,0.0
69.5,0.0
70.5,0.0
71.5,0.0
72.5,0.0
73.5,0.0
74.5,0.0
75.5,0.0
76.5,0.0
77.5,0.0
78.5,0.0
79.5,0.0
80.5,36.6133
81.5,74.2487
82.5,102.166
83.5,115.917
84.5,116.961
85.5,102.053
86.5,70.1385
87.5,27.5057
88.5,0.0
89.5,0.0
90.5,0.0
91.5,0.0
92.5,0.0
93.5,0.0
94.5,0.0
95.5,0.0
96.5,0.0
97.5,0.0
98.5,0.0
99.5,0.0
100.5,0.0
101.5,0.0
102.5,0.0
103.5,0.0
104.5,158.93
105.5,276.344
106.5,408.875
107.5,426.502
108.5,407.462
109.5,188.373
110.5,77.1712
111.5,3.96993
112.5,0.0
113.5,0.0
114.5,0.0
115.5,0.0
116.5,0.0
117.5,0.0
118.5,0.0
119.5,0.0
120.5,0.0
121.5,0.0
122.5,0.0
123.5,0.0
124.5,0.0
125.5,0.0
126.5,0.0
127.5,0.0
128.5,22.4292
129.5,49.8184
130.5,62.5351
131.5,83.4616
132.5,81.4581
133.5,69.2206
134.5,48.714
135.5,19.5701
136.5,0.0
137.5,0.0
138.5,0.0
139.5,0.0
140.5,0.0
141.5,0.0
142.5,0.0
143.5,0.0
144.5,0.0
145.5,0.0
146.5,0.0
147.5,0.0
148.5,0.0
149.5,0.0
150.5,0.0
151.5,0.0
152.5,30.7702
153.5,63.5701
154.5,118.856
155.5,108.222
156.5,113.047
157.5,105.275
158.5,81.5558
159.5,61.2699
160.5,0.0
161.5,0.0
162.5,0.0
163.5,0.0
164.5,0.0
165.5,0.0
166.5,0.0
167.5,0.0
168.5,0.0
169.5,0.0
170.5,0.0
171.5,0.0
172.5,0.0
173.5,0.0
174.5,0.0
175.5,0.0
176.5,177.968
177.5,281.111
178.5,389.758
179.5,407.032
180.5,426.661
181.5,393.667
182.5,335.529
183.5,147.191
184.5,0.0
185.5,0.0
186.5,0.0
187.5,0.0
188.5,0.0
189.5,0.0
190.5,0.0
191.5,0.0
192.5,0.0
193.5,0.0
194.5,0.0
195.5,0.0
196.5,0.0
197.5,0.0
198.5,0.0
199.5,0.0
200.5,110.996
201.5,227.167
202.5,282.528
203.5,260.821
204.5,291.828
205.5,239.543
206.5,257.275
207.5,100.2
208.5,0.0
209.5,0.0
210.5,0.0
211.5,0.0
212.5,0.0
213.5,0.0
214.5,0.0
215.5,0.0
216.5,0.0
217.5,0.0
218.5,0.0
219.5,0.0
220.5,0.0
221.5,0.0
222.5,0.0
223.5,0.0
224.5,34.1569
225.5,59.3775
226.5,97.1588
227.5,90.216
228.5,40.1196
229.5,451.205
230.5,419.129
231.5,231.684
232.5,0.0
233.5,0.0
234.5,0.0
235.5,0.0
236.5,0.0
237.5,0.0
238.5,0.0
239.5,0.0
240.5,0.0
241.5,0.0
242.5,0.0
243.5,0.0
244.5,0.0
245.5,0.0
246.5,0.0
247.5,0.0
248.5,206.391
249.5,362.889
250.5,244.336
251.5,113.347
252.5,27.7162
253.5,124.572
254.5,196.43
255.5,161.632
256.5,0.0
257.5,0.0
258.5,0.0
259.5,0.0
260.5,0.0
261.5,0.0
262.5,0.0
263.5,0.0
264.5,0.0
265.5,0.0
266.5,0.0
267.5,0.0
268.5,0.0
269.5,0.0
270.5,0.0
271.5,0.0
272.5,32.4876
273.5,80.0512
274.5,85.1609
275.5,99.5905
276.5,95.6061
277.5,106.746
278.5,71.3537
279.5,35.5843
280.5,0.0
281.5,0.0
282.5,0.0
283.5,0.0
284.5,0.0
285.5,0.0
286.5,0.0
287.5,0.0
288.5,0.0
289.5,0.0
290.5,0.0
291.5,0.0
292.5,0.0
293.5,0.0
294.5,0.0
295.5,0.0
296.5,170.284
297.5,250.096
298.5,583.76
299.5,614.516
300.5,148.205
301.5,304.944
302.5,38.9771
303.5,22.3053
304.5,0.0
305.5,0.0
306.5,0.0
307.5,0.0
308.5,0.0
309.5,0.0
310.5,0.0
311.5,0.0
312.5,0.0
313.5,0.0
314.5,0.0
315.5,0.0
316.5,0.0
317.5,0.0
318.5,0.0
319.5,0.0
320.5,108.766
321.5,218.139
322.5,380.794
323.5,496.222
324.5,551.703
325.5,476.769
326.5,412.496
327.5,251.101
328.5,2.26839
329.5,0.0
330.5,0.0
331.5,0.0
332.5,0.0
333.5,0.0
334.5,0.0
335.5,0.0
336.5,0.0
337.5,0.0
338.5,0.0
339.5,0.0
340.5,0.0
341.5,0.0
342.5,0.0
343.5,0.674976
344.5,257.433
345.5,438.728
346.5,568.786
347.5,589.665
348.5,534.84
349.5,513.395
350.5,406.825
351.5,228.174
352.5,0.0
353.5,0.0
354.5,0.0
355.5,0.0
356.5,0.0
357.5,0.0
358.5,0.0
359.5,0.0
360.5,0.0
361.5,0.0
362.5,0.0
363.5,0.0
364.5,0.0
365.5,0.0
366.5,0.0
367.5,1.57189
368.5,276.535
369.5,469.75
370.5,592.832
371.5,651.822
372.5,657.88
373.5,583.897
374.5,456.383
375.5,272.235
376.5,0.376243
377.5,0.0
378.5,0.0
379.5,0.0
380.5,0.0
381.5,0.0
382.5,0.0
383.5,0.0
384.5,0.0
385.5,0.0
386.5,0.0
387.5,0.0
388.5,0.0
389.5,0.0
390.5,0.0
391.5,0.0
392.5,79.9059
393.5,225.305
394.5,147.691
395.5,76.6944
396.5,149.36
397.5,407.676
398.5,367.107
399.5,279.632
400.5,10.253
401.5,0.0
402.5,0.0
403.5,0.0
404.5,0.0
405.5,0.0
406.5,0.0
407.5,0.0
408.5,0.0
409.5,0.0
410.5,0.0
411.5,0.0
412.5,0.0
413.5,0.0
414.5,0.0
415.5,0.0
416.5,65.9213
417.5,216.61
418.5,319.471
419.5,314.436
420.5,294.296
421.5,281.031
422.5,172.754
423.5,84.3001
424.5,0.0
425.5,0.0
426.5,0.0
427.5,0.0
428.5,0.0
429.5,0.0
430.5,0.0
431.5,0.0
432.5,0.0
433.5,0.0
434.5,0.0
435.5,0.0
436.5,0.0
437.5,0.0
438.5,0.0
439.5,1.17858
440.5,213.68
441.5,399.498
442.5,512.154
443.5,422.664
444.5,483.337
445.5,351.068
446.5,347.909
447.5,217.638
448.5,4.47978
449.5,0.0
450.5,0.0
451.5,0.0
452.5,0.0
453.5,0.0
454.5,0.0
455.5,0.0
456.5,0.0
457.5,0.0
458.5,0.0
459.5,0.0
460.5,0.0
461.5,0.0
462.5,0.0
463.5,0.0
464.5,131.183
465.5,218.203
466.5,378.037
467.5,403.732
468.5,472.292
469.5,423.973
470.5,368.12
471.5,257.442
472.5,7.28935
473.5,0.0
474.5,0.0
475.5,0.0
476.5,0.0
477.5,0.0
478.5,0.0
479.5,0.0
480.5,0.0
481.5,0.0
482.5,0.0
483.5,0.0
484.5,0.0
485.5,0.0
486.5,0.0
487.5,0.0
488.5,45.8881
489.5,200.056
490.5,335.577
491.5,504.999
492.5,545.675
493.5,430.097
494.5,336.858
495.5,188.854
496.5,2.63665
497.5,0.0
498.5,0.0
499.5,0.0
500.5,0.0
501.5,0.0
502.5,0.0
503.5,0.0
504.5,0.0
505.5,0.0
506.5,0.0
507.5,0.0
508.5,0.0
509.5,0.0
510.5,0.0
511.5,1.02053
512.5,172.399
513.5,216.418
514.5,305.456
515.5,297.124
516.5,126.198
517.5,152.495
518.5,169.97
519.5,51.5309
520.5,0.0
521.5,0.0
522.5,0.0
523.5,0.0
524.5,0.0
525.5,0.0
526.5,0.0
527.5,0.0
528.5,0.0
529.5,0.0
530.5,0.0
531.5,0.0
532.5,0.0
533.5,0.0
534.5,0.0
535.5,3.08873
536.5,278.552
537.5,460.706
538.5,590.68
539.5,644.663
540.5,649.288
541.5,589.87
542.5,467.695
543.5,291.089
544.5,5.48686
545.5,0.0
546.5,0.0
547.5,0.0
548.5,0.0
549.5,0.0
550.5,0.0
551.5,0.0
552.5,0.0
553.5,0.0
554.5,0.0
555.5,0.0
556.5,0.0
557.5,0.0
558.5,0.0
559.5,3.4937
560.5,296.768
561.5,488.061
562.5,609.856
563.5,666.369
564.5,669.936
565.5,612.373
566.5,495.842
567.5,312.098
568.5,6.91028
569.5,0.0
570.5,0.0
571.5,0.0
572.5,0.0
573.5,0.0
574.5,0.0
575.5,0.0
576.5,0.0
577.5,0.0
578.5,0.0
579.5,0.0
580.5,0.0
581.5,0.0
582.5,0.0
583.5,0.0
584.5,129.727
585.5,387.079
586.5,417.733
587.5,475.555
588.5,275.999
589.5,273.654
590.5,192.801
591.5,167.954
592.5,7.75394
593.5,0.0
594.5,0.0
595.5,0.0
596.5,0.0
597.5,0.0
598.5,0.0
599.5,0.0
600.5,0.0
601.5,0.0
602.5,0.0
603.5,0.0
604.5,0.0
605.5,0.0
606.5,0.0
607.5,0.0
608.5,15.4815
609.5,34.0886
610.5,51.6709
611.5,56.8743
612.5,55.0548
613.5,48.0066
614.5,36.5104
615.5,18.8833
616.5,0.0
617.5,0.0
618.5,0.0
619.5,0.0
620.5,0.0
621.5,0.0
622.5,0.0
623.5,0.0
624.5,0.0
625.5,0.0
626.5,0.0
627.5,0.0
628.5,0.0
629.5,0.0
630.5,0.0
631.5,6.61827
632.5,215.127
633.5,461.974
634.5,498.548
635.5,365.622
636.5,370.153
637.5,186.812
