Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
1,1,8,0,18.79,0.0,20.65,2.42,0.0,0.0,0,0.0
1,2,8,0,21.55,0.0,19.13,1.8,0.0,0.0,0,0.0
1,3,8,0,22.36,0.0,21.86,2.37,0.0,0.0,0,0.0
1,4,8,0,23.06,0.0,21.89,2.08,0.0,0.0,0,0.0
1,5,8,0,23.55,0.11,22.96,3.19,0.0,0.0,0,0.0
1,6,8,0,22.02,0.0,16.04,5.86,0.0,0.0,0,0.0
1,7,8,0,21.68,0.0,14.49,6.06,0.0,0.0,0,0.0
1,8,8,0,21.86,0.0,16.6,7.01,3.3,0.0,0,11.0882
1,9,8,0,22.06,0.0,17.86,9.72,3.02,0.0,0,109.836
1,10,8,0,22.24,0.0,18.19,9.8,3.36,0.0,0,191.27
1,11,8,0,22.5,0.0,18.09,12.64,2.0,0.0,0,273.692
1,12,8,0,23.4,0.0,19.02,15.62,13.37,0.0,0,342.301
1,13,8,0,23.98,0.37,19.18,14.53,12.54,0.0,0,312.278
1,14,8,0,23.88,0.27,17.86,12.92,18.66,0.0,0,197.193
1,15,8,0,23.91,0.3,16.71,10.96,18.05,0.0,0,122.51
1,16,8,0,23.41,0.0,17.7,9.76,4.73,0.0,0,48.9231
1,17,8,0,23.17,0.0,18.71,12.57,5.15,0.0,0,0.0
1,18,8,0,23.16,0.0,19.56,12.24,4.38,0.0,0,0.0
1,19,8,0,23.06,0.0,21.61,12.86,3.51,0.0,0,0.0
1,20,8,0,23.08,0.0,22.58,11.19,2.3,0.0,0,0.0
1,21,8,0,23.2,0.0,22.57,10.03,9.34,0.0,0,0.0
1,22,8,0,23.09,0.0,21.38,8.03,9.0,0.0,0,0.0
1,23,8,0,22.58,0.0,19.66,4.28,8.6,0.0,0,0.0
1,24,8,0,22.13,0.0,17.0,2.36,0.0,0.0,0,0.0
1,1,2,0,19.17,0.0,19.76,2.16,0.0,0.0,0,0.0
1,2,2,0,21.57,0.0,17.92,2.04,0.0,0.0,0,0.0
1,3,2,0,22.17,0.0,21.39,2.43,0.0,0.0,0,0.0
1,4,2,0,22.95,0.0,21.29,2.04,0.0,0.0,0,0.0
1,5,2,0,23.26,0.0,21.88,3.22,0.0,0.0,0,0.0
1,6,2,0,22.02,0.0,14.27,6.68,0.0,0.0,0,0.0
1,7,2,0,21.84,0.0,12.73,6.27,3.63,0.0,0,0.0
1,8,2,0,21.87,0.0,13.58,7.23,3.49,0.0,0,13.718
1,9,2,0,22.19,0.0,14.18,8.05,8.35,0.0,0,261.214
1,10,2,0,22.3,0.0,15.12,10.45,3.3,0.0,0,445.404
1,11,2,0,22.53,0.0,15.8,11.24,2.53,0.0,0,547.31
1,12,2,0,23.44,0.83,18.2,12.88,18.25,0.0,0,586.717
1,13,2,0,23.86,1.25,18.25,12.12,7.26,0.0,0,566.156
1,14,2,0,23.81,1.2,17.46,11.24,22.5,0.0,0,513.769
1,15,2,0,23.96,1.35,16.83,12.11,21.08,0.0,0,386.375
1,16,2,0,23.44,0.83,16.98,11.2,4.38,0.0,0,224.099
1,17,2,0,23.26,0.65,17.88,12.96,5.95,0.0,0,0.131332
1,18,2,0,23.25,0.64,18.12,11.81,4.63,0.0,0,0.0
1,19,2,0,23.16,0.55,17.69,11.26,3.07,0.0,0,0.0
1,20,2,0,23.18,0.56,16.88,10.1,2.08,0.0,0,0.0
1,21,2,0,23.29,0.67,17.0,9.84,8.21,0.0,0,0.0
1,22,2,0,23.18,0.57,17.01,9.75,8.54,0.0,0,0.0
1,23,2,0,22.62,0.01,15.98,5.55,8.86,0.0,0,0.0
1,24,2,0,22.27,0.0,14.18,2.34,2.7,0.0,0,0.0
1,1,3,0,19.17,0.0,16.15,2.47,0.0,0.0,0,0.0
1,2,3,0,21.49,0.0,14.66,1.86,0.0,0.0,0,0.0
